,G,Date,Site,Opp,W/L,score_Tm,score_Opp,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,blank,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF,Team
16,17,2018-01-13,@,St. John's (NY),W,78.0,71.0,23.0,53.0,0.434,13.0,30.0,0.433,19.0,24.0,0.792,11.0,37.0,17.0,2.0,3.0,17.0,16.0,,28.0,64.0,0.43799999999999994,1.0,12.0,0.083,14.0,17.0,0.8240000000000001,7.0,27.0,10.0,7.0,3.0,8.0,17.0,Villanova NCAA
17,18,2018-01-17,@,Georgetown,W,88.0,56.0,33.0,55.0,0.6,17.0,33.0,0.515,5.0,6.0,0.833,5.0,27.0,22.0,8.0,4.0,15.0,14.0,,22.0,56.0,0.39299999999999996,4.0,15.0,0.267,8.0,9.0,0.889,9.0,24.0,15.0,5.0,2.0,16.0,12.0,Villanova NCAA
18,19,2018-01-20,@,UConn,W,81.0,61.0,28.0,68.0,0.41200000000000003,15.0,40.0,0.375,10.0,11.0,0.909,15.0,46.0,18.0,8.0,5.0,11.0,14.0,,21.0,61.0,0.344,6.0,23.0,0.261,13.0,15.0,0.867,8.0,29.0,12.0,6.0,3.0,10.0,10.0,Villanova NCAA
19,20,2018-01-23,,Providence,W,89.0,69.0,33.0,66.0,0.5,12.0,29.0,0.414,11.0,15.0,0.733,11.0,31.0,18.0,10.0,5.0,6.0,16.0,,23.0,62.0,0.371,8.0,22.0,0.364,15.0,20.0,0.75,16.0,35.0,11.0,2.0,5.0,14.0,17.0,Villanova NCAA
20,21,2018-01-28,@,Marquette,W,85.0,82.0,29.0,60.0,0.483,8.0,24.0,0.33299999999999996,19.0,24.0,0.792,9.0,30.0,8.0,6.0,4.0,10.0,14.0,,31.0,61.0,0.508,11.0,24.0,0.45799999999999996,9.0,12.0,0.75,8.0,25.0,18.0,5.0,1.0,11.0,22.0,Villanova NCAA
21,22,2018-02-01,,Creighton,W,98.0,78.0,37.0,68.0,0.544,19.0,39.0,0.48700000000000004,5.0,6.0,0.833,7.0,32.0,19.0,4.0,2.0,6.0,13.0,,25.0,51.0,0.49,6.0,18.0,0.33299999999999996,22.0,24.0,0.917,2.0,23.0,14.0,4.0,2.0,8.0,11.0,Villanova NCAA
22,23,2018-02-04,,Seton Hall,W,92.0,76.0,32.0,63.0,0.508,12.0,29.0,0.414,16.0,25.0,0.64,10.0,32.0,18.0,5.0,4.0,7.0,12.0,,31.0,62.0,0.5,7.0,18.0,0.389,7.0,14.0,0.5,8.0,28.0,15.0,1.0,4.0,9.0,20.0,Villanova NCAA
23,24,2018-02-07,,St. John's (NY),L,75.0,79.0,28.0,67.0,0.418,8.0,33.0,0.242,11.0,12.0,0.917,7.0,29.0,11.0,3.0,3.0,8.0,19.0,,27.0,55.0,0.491,6.0,15.0,0.4,19.0,24.0,0.792,5.0,31.0,13.0,4.0,3.0,8.0,17.0,Villanova NCAA
24,25,2018-02-10,,Butler,W,86.0,75.0,30.0,59.0,0.508,6.0,18.0,0.33299999999999996,20.0,23.0,0.87,5.0,30.0,10.0,6.0,5.0,8.0,14.0,,27.0,62.0,0.435,12.0,29.0,0.414,9.0,9.0,1.0,4.0,23.0,15.0,2.0,1.0,12.0,22.0,Villanova NCAA
25,26,2018-02-14,@,Providence,L,71.0,76.0,26.0,52.0,0.5,3.0,20.0,0.15,16.0,22.0,0.727,4.0,34.0,9.0,5.0,5.0,19.0,24.0,,23.0,62.0,0.371,8.0,25.0,0.32,22.0,30.0,0.733,11.0,36.0,14.0,9.0,4.0,14.0,19.0,Villanova NCAA
