,G,Date,Site,Opp,W/L,score_Tm,score_Opp,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,blank,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF,Team
2911,15,2017-12-30,@,Loyola (IL),L,59.0,66.0,23.0,52.0,0.442,5.0,14.0,0.35700000000000004,8.0,12.0,0.667,5.0,29.0,6.0,10.0,3.0,13.0,22.0,,22.0,44.0,0.5,6.0,15.0,0.4,16.0,22.0,0.727,1.0,23.0,14.0,7.0,5.0,13.0,12.0,Evansville
2912,16,2018-01-03,@,Southern Illinois,L,63.0,65.0,27.0,52.0,0.519,3.0,11.0,0.273,6.0,9.0,0.667,8.0,25.0,12.0,10.0,2.0,16.0,19.0,,22.0,44.0,0.5,8.0,17.0,0.47100000000000003,13.0,20.0,0.65,6.0,21.0,13.0,10.0,2.0,18.0,15.0,Evansville
2913,17,2018-01-06,,Bradley,W,68.0,44.0,25.0,51.0,0.49,8.0,15.0,0.5329999999999999,10.0,10.0,1.0,6.0,28.0,23.0,9.0,4.0,13.0,13.0,,15.0,43.0,0.349,3.0,14.0,0.214,11.0,15.0,0.733,5.0,21.0,10.0,9.0,4.0,15.0,16.0,Evansville
2914,18,2018-01-10,,Missouri State,W,64.0,55.0,22.0,48.0,0.45799999999999996,4.0,11.0,0.364,16.0,23.0,0.696,9.0,35.0,10.0,6.0,3.0,14.0,12.0,,21.0,58.0,0.36200000000000004,7.0,22.0,0.318,6.0,7.0,0.857,7.0,29.0,13.0,7.0,3.0,13.0,21.0,Evansville
2915,19,2018-01-13,@,Drake,L,65.0,81.0,22.0,52.0,0.423,4.0,15.0,0.267,17.0,23.0,0.7390000000000001,6.0,27.0,12.0,7.0,2.0,13.0,23.0,,28.0,52.0,0.5379999999999999,9.0,20.0,0.45,16.0,23.0,0.696,8.0,33.0,22.0,6.0,4.0,14.0,21.0,Evansville
2916,20,2018-01-17,,Indiana State,L,66.0,71.0,18.0,52.0,0.34600000000000003,4.0,17.0,0.235,26.0,36.0,0.722,6.0,31.0,12.0,8.0,4.0,14.0,26.0,,20.0,53.0,0.377,9.0,24.0,0.375,22.0,31.0,0.71,8.0,36.0,13.0,10.0,3.0,19.0,26.0,Evansville
2917,21,2018-01-20,@,Bradley,L,53.0,66.0,18.0,57.0,0.316,7.0,18.0,0.389,10.0,12.0,0.833,6.0,25.0,10.0,8.0,2.0,13.0,20.0,,23.0,54.0,0.426,9.0,24.0,0.375,11.0,18.0,0.611,10.0,39.0,11.0,8.0,6.0,15.0,17.0,Evansville
2918,22,2018-01-24,@,Valparaiso,W,75.0,65.0,22.0,56.0,0.39299999999999996,2.0,5.0,0.4,29.0,31.0,0.935,8.0,37.0,8.0,8.0,2.0,11.0,23.0,,21.0,57.0,0.368,11.0,27.0,0.40700000000000003,12.0,21.0,0.5710000000000001,8.0,32.0,13.0,5.0,7.0,16.0,27.0,Evansville
2919,23,2018-01-27,,Drake,W,77.0,73.0,24.0,48.0,0.5,7.0,12.0,0.583,22.0,25.0,0.88,5.0,30.0,17.0,7.0,3.0,20.0,22.0,,23.0,51.0,0.451,10.0,25.0,0.4,17.0,22.0,0.773,3.0,25.0,15.0,11.0,2.0,17.0,21.0,Evansville
2920,24,2018-01-31,,Northern Iowa,W,57.0,49.0,21.0,46.0,0.457,9.0,17.0,0.529,6.0,12.0,0.5,1.0,30.0,16.0,5.0,2.0,10.0,20.0,,15.0,48.0,0.313,6.0,26.0,0.231,13.0,18.0,0.722,5.0,31.0,10.0,7.0,2.0,10.0,17.0,Evansville
2921,25,2018-02-03,@,Illinois State,L,71.0,75.0,24.0,58.0,0.414,10.0,21.0,0.47600000000000003,13.0,18.0,0.722,11.0,36.0,17.0,5.0,1.0,14.0,30.0,,23.0,54.0,0.426,8.0,24.0,0.33299999999999996,21.0,33.0,0.636,9.0,36.0,11.0,7.0,8.0,10.0,20.0,Evansville
2922,26,2018-02-07,,Valparaiso,W,63.0,59.0,22.0,47.0,0.46799999999999997,3.0,6.0,0.5,16.0,23.0,0.696,8.0,31.0,12.0,7.0,1.0,15.0,11.0,,23.0,52.0,0.442,8.0,26.0,0.308,5.0,5.0,1.0,5.0,24.0,9.0,7.0,5.0,18.0,22.0,Evansville
2923,27,2018-02-10,@,Missouri State,L,55.0,72.0,19.0,51.0,0.373,4.0,13.0,0.308,13.0,18.0,0.722,2.0,19.0,8.0,9.0,1.0,9.0,20.0,,27.0,59.0,0.45799999999999996,6.0,21.0,0.28600000000000003,12.0,17.0,0.706,16.0,43.0,14.0,6.0,3.0,13.0,18.0,Evansville
2924,28,2018-02-13,@,Northern Iowa,L,41.0,47.0,18.0,49.0,0.36700000000000005,5.0,17.0,0.294,0.0,0.0,,5.0,32.0,7.0,2.0,5.0,9.0,18.0,,15.0,54.0,0.278,5.0,22.0,0.22699999999999998,12.0,19.0,0.632,11.0,35.0,9.0,3.0,3.0,5.0,9.0,Evansville
2925,29,2018-02-18,,Loyola (IL),L,66.0,76.0,23.0,53.0,0.434,5.0,15.0,0.33299999999999996,15.0,17.0,0.882,3.0,20.0,12.0,7.0,1.0,11.0,16.0,,25.0,43.0,0.581,9.0,19.0,0.474,17.0,23.0,0.7390000000000001,4.0,29.0,12.0,6.0,3.0,18.0,14.0,Evansville
2926,30,2018-02-21,@,Indiana State,L,53.0,58.0,18.0,63.0,0.28600000000000003,5.0,20.0,0.25,12.0,14.0,0.857,10.0,41.0,12.0,4.0,7.0,9.0,18.0,,17.0,59.0,0.28800000000000003,8.0,30.0,0.267,16.0,25.0,0.64,13.0,44.0,9.0,5.0,5.0,7.0,15.0,Evansville
2927,31,2018-02-24,,Southern Illinois,W,75.0,44.0,31.0,55.0,0.564,10.0,19.0,0.526,3.0,4.0,0.75,6.0,32.0,18.0,10.0,5.0,14.0,19.0,,13.0,42.0,0.31,5.0,16.0,0.313,13.0,19.0,0.684,5.0,23.0,7.0,7.0,5.0,19.0,15.0,Evansville
2928,32,2018-03-01,N,Northern Iowa,L,50.0,60.0,21.0,55.0,0.382,2.0,14.0,0.14300000000000002,6.0,7.0,0.857,3.0,26.0,7.0,2.0,3.0,6.0,17.0,,21.0,52.0,0.40399999999999997,6.0,22.0,0.273,12.0,16.0,0.75,5.0,34.0,10.0,2.0,7.0,3.0,9.0,Evansville
2930,1,2017-11-11,,Penn,W,80.0,72.0,28.0,56.0,0.5,4.0,17.0,0.235,20.0,24.0,0.833,7.0,44.0,13.0,5.0,5.0,16.0,22.0,,26.0,72.0,0.361,9.0,39.0,0.231,11.0,19.0,0.579,7.0,30.0,14.0,6.0,3.0,9.0,21.0,Fairfield
2931,2,2017-11-14,,Loyola (MD),W,64.0,52.0,21.0,58.0,0.36200000000000004,5.0,23.0,0.217,17.0,23.0,0.7390000000000001,12.0,43.0,11.0,8.0,2.0,14.0,14.0,,18.0,56.0,0.321,7.0,25.0,0.28,9.0,12.0,0.75,5.0,31.0,8.0,9.0,2.0,17.0,20.0,Fairfield
2932,3,2017-11-18,@,Purdue,L,64.0,106.0,24.0,60.0,0.4,11.0,30.0,0.36700000000000005,5.0,13.0,0.385,8.0,30.0,12.0,5.0,4.0,22.0,18.0,,38.0,74.0,0.514,19.0,31.0,0.613,11.0,17.0,0.647,12.0,40.0,23.0,11.0,5.0,9.0,16.0,Fairfield
2933,4,2017-11-24,N,Jacksonville,L,84.0,92.0,31.0,67.0,0.46299999999999997,11.0,38.0,0.289,11.0,14.0,0.7859999999999999,6.0,28.0,16.0,9.0,0.0,9.0,21.0,,31.0,56.0,0.5539999999999999,11.0,20.0,0.55,19.0,26.0,0.731,5.0,37.0,13.0,4.0,2.0,15.0,16.0,Fairfield
2934,5,2017-11-25,N,Gardner-Webb,W,75.0,64.0,26.0,60.0,0.433,9.0,26.0,0.34600000000000003,14.0,20.0,0.7,9.0,28.0,19.0,9.0,2.0,11.0,14.0,,24.0,49.0,0.49,8.0,22.0,0.364,8.0,11.0,0.727,5.0,32.0,14.0,3.0,0.0,19.0,18.0,Fairfield
2935,6,2017-11-26,@,Wright State,L,56.0,57.0,22.0,55.0,0.4,7.0,22.0,0.318,5.0,7.0,0.7140000000000001,8.0,32.0,9.0,1.0,2.0,15.0,15.0,,23.0,53.0,0.434,2.0,12.0,0.16699999999999998,9.0,12.0,0.75,6.0,30.0,8.0,10.0,1.0,9.0,11.0,Fairfield
2936,7,2017-12-01,@,Wagner,L,76.0,78.0,24.0,60.0,0.4,7.0,24.0,0.292,21.0,29.0,0.7240000000000001,4.0,30.0,16.0,5.0,5.0,8.0,24.0,,23.0,57.0,0.40399999999999997,10.0,26.0,0.385,22.0,35.0,0.629,10.0,38.0,14.0,4.0,5.0,10.0,24.0,Fairfield
2937,8,2017-12-06,@,Houston,L,66.0,88.0,25.0,61.0,0.41,7.0,25.0,0.28,9.0,14.0,0.643,6.0,25.0,8.0,5.0,1.0,15.0,24.0,,32.0,58.0,0.552,11.0,16.0,0.688,13.0,19.0,0.684,9.0,38.0,16.0,5.0,6.0,17.0,19.0,Fairfield
2938,9,2017-12-10,@,LIU-Brooklyn,W,76.0,72.0,30.0,61.0,0.49200000000000005,5.0,21.0,0.23800000000000002,11.0,15.0,0.733,4.0,29.0,12.0,2.0,0.0,11.0,28.0,,22.0,54.0,0.40700000000000003,3.0,14.0,0.214,25.0,37.0,0.6759999999999999,8.0,37.0,8.0,6.0,2.0,11.0,18.0,Fairfield
2939,10,2017-12-17,,Old Dominion,L (1 OT),77.0,82.0,21.0,50.0,0.42,13.0,30.0,0.433,22.0,29.0,0.759,3.0,27.0,17.0,4.0,4.0,16.0,18.0,,30.0,81.0,0.37,10.0,27.0,0.37,12.0,15.0,0.8,19.0,48.0,15.0,10.0,3.0,6.0,19.0,Fairfield
2940,11,2017-12-22,,New Hampshire,W,78.0,68.0,29.0,61.0,0.475,9.0,28.0,0.321,11.0,12.0,0.917,5.0,34.0,16.0,3.0,3.0,8.0,20.0,,21.0,64.0,0.32799999999999996,8.0,30.0,0.267,18.0,21.0,0.857,10.0,34.0,6.0,2.0,2.0,10.0,14.0,Fairfield
2941,12,2017-12-28,,St. Peter's,W,70.0,61.0,23.0,50.0,0.46,11.0,26.0,0.423,13.0,18.0,0.722,8.0,30.0,13.0,10.0,2.0,16.0,14.0,,21.0,51.0,0.41200000000000003,7.0,22.0,0.318,12.0,12.0,1.0,5.0,27.0,11.0,9.0,3.0,17.0,17.0,Fairfield
2942,13,2017-12-30,@,Manhattan,L,58.0,61.0,21.0,60.0,0.35,5.0,27.0,0.185,11.0,16.0,0.688,15.0,35.0,10.0,8.0,2.0,13.0,23.0,,21.0,43.0,0.488,5.0,11.0,0.455,14.0,21.0,0.667,9.0,29.0,13.0,4.0,2.0,17.0,13.0,Fairfield
2943,14,2018-01-05,@,Rider,L,77.0,96.0,24.0,61.0,0.39299999999999996,11.0,30.0,0.36700000000000005,18.0,23.0,0.7829999999999999,11.0,37.0,16.0,8.0,7.0,19.0,26.0,,32.0,64.0,0.5,12.0,24.0,0.5,20.0,36.0,0.556,12.0,38.0,14.0,12.0,1.0,11.0,19.0,Fairfield
2944,15,2018-01-07,@,Iona,L,65.0,84.0,26.0,57.0,0.456,7.0,20.0,0.35,6.0,10.0,0.6,4.0,25.0,17.0,5.0,3.0,13.0,23.0,,25.0,58.0,0.431,14.0,32.0,0.43799999999999994,20.0,24.0,0.833,11.0,38.0,21.0,8.0,4.0,10.0,10.0,Fairfield
2945,16,2018-01-11,,Manhattan,L,53.0,59.0,21.0,49.0,0.429,10.0,26.0,0.385,1.0,3.0,0.33299999999999996,10.0,26.0,19.0,5.0,2.0,16.0,15.0,,24.0,47.0,0.511,7.0,12.0,0.583,4.0,8.0,0.5,10.0,25.0,12.0,4.0,3.0,16.0,11.0,Fairfield
2946,17,2018-01-13,@,Marist,L (1 OT),89.0,95.0,32.0,67.0,0.478,11.0,29.0,0.379,14.0,22.0,0.636,8.0,33.0,18.0,7.0,2.0,12.0,27.0,,30.0,54.0,0.556,15.0,29.0,0.517,20.0,32.0,0.625,5.0,33.0,14.0,4.0,4.0,16.0,18.0,Fairfield
2947,18,2018-01-20,,Niagara,W,104.0,85.0,37.0,69.0,0.536,12.0,34.0,0.353,18.0,23.0,0.7829999999999999,8.0,33.0,25.0,7.0,4.0,8.0,22.0,,28.0,58.0,0.483,6.0,14.0,0.429,23.0,29.0,0.7929999999999999,5.0,32.0,11.0,2.0,1.0,14.0,20.0,Fairfield
2948,19,2018-01-23,,Rider,L,88.0,90.0,31.0,67.0,0.46299999999999997,14.0,32.0,0.43799999999999994,12.0,25.0,0.48,6.0,29.0,17.0,6.0,2.0,10.0,25.0,,33.0,64.0,0.516,10.0,20.0,0.5,14.0,30.0,0.467,13.0,45.0,15.0,5.0,5.0,13.0,23.0,Fairfield
2949,20,2018-01-27,N,Quinnipiac,L,70.0,75.0,23.0,68.0,0.33799999999999997,6.0,30.0,0.2,18.0,21.0,0.857,18.0,36.0,12.0,10.0,2.0,18.0,22.0,,23.0,53.0,0.434,10.0,25.0,0.4,19.0,22.0,0.8640000000000001,10.0,33.0,16.0,9.0,2.0,19.0,21.0,Fairfield
2950,21,2018-01-29,,Iona,W (1 OT),103.0,100.0,39.0,73.0,0.534,14.0,27.0,0.519,11.0,14.0,0.7859999999999999,7.0,35.0,26.0,6.0,2.0,13.0,16.0,,40.0,78.0,0.513,9.0,23.0,0.391,11.0,15.0,0.733,10.0,37.0,17.0,7.0,1.0,14.0,15.0,Fairfield
2951,22,2018-02-02,@,Monmouth,W,79.0,78.0,26.0,56.0,0.46399999999999997,10.0,27.0,0.37,17.0,23.0,0.7390000000000001,9.0,31.0,12.0,8.0,3.0,17.0,21.0,,25.0,59.0,0.424,6.0,18.0,0.33299999999999996,22.0,26.0,0.846,8.0,30.0,15.0,7.0,4.0,11.0,21.0,Fairfield
2952,23,2018-02-05,,Siena,W,78.0,65.0,26.0,57.0,0.456,9.0,25.0,0.36,17.0,22.0,0.773,6.0,28.0,16.0,7.0,2.0,6.0,17.0,,25.0,52.0,0.48100000000000004,5.0,12.0,0.41700000000000004,10.0,17.0,0.588,5.0,30.0,11.0,3.0,3.0,12.0,17.0,Fairfield
2953,24,2018-02-10,@,Niagara,L,83.0,95.0,33.0,76.0,0.434,13.0,36.0,0.361,4.0,10.0,0.4,5.0,31.0,14.0,3.0,3.0,11.0,18.0,,36.0,70.0,0.514,8.0,16.0,0.5,15.0,17.0,0.882,6.0,42.0,15.0,4.0,5.0,14.0,15.0,Fairfield
2954,25,2018-02-12,@,Canisius,L,63.0,81.0,26.0,59.0,0.441,4.0,20.0,0.2,7.0,14.0,0.5,6.0,27.0,10.0,10.0,7.0,16.0,15.0,,30.0,65.0,0.462,12.0,32.0,0.375,9.0,11.0,0.818,12.0,40.0,19.0,7.0,6.0,16.0,15.0,Fairfield
2955,26,2018-02-15,,Marist,W,83.0,79.0,29.0,65.0,0.446,11.0,27.0,0.40700000000000003,14.0,17.0,0.8240000000000001,8.0,32.0,17.0,7.0,2.0,8.0,17.0,,28.0,58.0,0.483,7.0,23.0,0.304,16.0,20.0,0.8,7.0,34.0,11.0,5.0,2.0,13.0,17.0,Fairfield
2956,27,2018-02-17,,Quinnipiac,W (2 OT),102.0,98.0,36.0,75.0,0.48,13.0,31.0,0.419,17.0,27.0,0.63,14.0,37.0,19.0,8.0,4.0,14.0,24.0,,32.0,61.0,0.525,14.0,28.0,0.5,20.0,28.0,0.7140000000000001,7.0,38.0,10.0,6.0,2.0,21.0,25.0,Fairfield
2957,28,2018-02-21,@,Siena,W,70.0,69.0,24.0,55.0,0.436,7.0,23.0,0.304,15.0,27.0,0.556,8.0,31.0,11.0,8.0,1.0,5.0,16.0,,27.0,51.0,0.529,5.0,10.0,0.5,10.0,22.0,0.455,8.0,37.0,12.0,1.0,1.0,14.0,22.0,Fairfield
2958,29,2018-02-24,,Monmouth,W,69.0,66.0,21.0,53.0,0.396,6.0,28.0,0.214,21.0,29.0,0.7240000000000001,6.0,33.0,12.0,3.0,2.0,13.0,22.0,,22.0,56.0,0.39299999999999996,6.0,18.0,0.33299999999999996,16.0,24.0,0.667,7.0,32.0,14.0,8.0,0.0,10.0,24.0,Fairfield
2959,30,2018-03-01,N,Marist,W,71.0,57.0,24.0,65.0,0.369,9.0,33.0,0.273,14.0,17.0,0.8240000000000001,12.0,42.0,14.0,10.0,2.0,12.0,19.0,,20.0,49.0,0.408,2.0,12.0,0.16699999999999998,15.0,22.0,0.682,4.0,29.0,6.0,6.0,2.0,16.0,21.0,Fairfield
2960,31,2018-03-03,N,Niagara,W,90.0,77.0,31.0,63.0,0.49200000000000005,12.0,24.0,0.5,16.0,18.0,0.889,6.0,29.0,21.0,4.0,3.0,6.0,24.0,,25.0,63.0,0.397,5.0,18.0,0.278,22.0,28.0,0.7859999999999999,10.0,33.0,9.0,1.0,3.0,8.0,19.0,Fairfield
2961,32,2018-03-04,N,Quinnipiac,W,74.0,64.0,22.0,51.0,0.431,9.0,25.0,0.36,21.0,22.0,0.955,3.0,31.0,8.0,8.0,8.0,13.0,17.0,,23.0,59.0,0.39,4.0,16.0,0.25,14.0,21.0,0.667,7.0,28.0,6.0,9.0,2.0,13.0,20.0,Fairfield
2962,33,2018-03-05,N,Iona,L,71.0,83.0,25.0,64.0,0.391,11.0,29.0,0.379,10.0,20.0,0.5,9.0,33.0,11.0,7.0,2.0,12.0,22.0,,28.0,59.0,0.475,4.0,13.0,0.308,23.0,27.0,0.852,6.0,37.0,11.0,7.0,4.0,12.0,18.0,Fairfield
2964,1,2017-11-10,@,Seton Hall,L,68.0,90.0,24.0,56.0,0.429,10.0,24.0,0.41700000000000004,10.0,16.0,0.625,6.0,22.0,15.0,6.0,3.0,15.0,20.0,,33.0,66.0,0.5,9.0,24.0,0.375,15.0,23.0,0.652,16.0,41.0,22.0,6.0,2.0,12.0,18.0,Fairleigh Dickinson
2965,2,2017-11-12,@,Penn State,L,57.0,81.0,20.0,47.0,0.426,5.0,10.0,0.5,12.0,18.0,0.667,4.0,25.0,11.0,8.0,3.0,29.0,21.0,,30.0,67.0,0.44799999999999995,4.0,16.0,0.25,17.0,22.0,0.773,15.0,39.0,17.0,18.0,5.0,23.0,18.0,Fairleigh Dickinson
2966,3,2017-11-15,,Fairleigh Dickinson-Florham,W,111.0,49.0,46.0,74.0,0.622,10.0,20.0,0.5,9.0,14.0,0.643,12.0,44.0,27.0,12.0,8.0,12.0,17.0,,18.0,64.0,0.281,5.0,20.0,0.25,8.0,13.0,0.615,12.0,30.0,7.0,6.0,1.0,20.0,19.0,Fairleigh Dickinson
2967,4,2017-11-18,,Kean,W,94.0,55.0,33.0,66.0,0.5,7.0,25.0,0.28,21.0,27.0,0.778,12.0,42.0,21.0,19.0,5.0,17.0,14.0,,22.0,61.0,0.361,8.0,27.0,0.29600000000000004,3.0,6.0,0.5,7.0,28.0,11.0,7.0,1.0,27.0,24.0,Fairleigh Dickinson
2968,5,2017-11-22,,Holy Cross,W,87.0,76.0,30.0,53.0,0.5660000000000001,8.0,20.0,0.4,19.0,30.0,0.633,11.0,34.0,17.0,9.0,2.0,18.0,18.0,,28.0,58.0,0.483,8.0,23.0,0.348,12.0,17.0,0.706,5.0,23.0,14.0,12.0,2.0,12.0,24.0,Fairleigh Dickinson
2969,6,2017-11-26,,Princeton,L,76.0,83.0,28.0,56.0,0.5,6.0,20.0,0.3,14.0,15.0,0.9329999999999999,8.0,24.0,8.0,10.0,1.0,15.0,18.0,,31.0,47.0,0.66,9.0,16.0,0.563,12.0,15.0,0.8,2.0,19.0,21.0,6.0,1.0,15.0,16.0,Fairleigh Dickinson
2970,7,2017-11-29,@,St. Peter's,L,53.0,77.0,15.0,56.0,0.268,5.0,24.0,0.20800000000000002,18.0,26.0,0.6920000000000001,10.0,28.0,5.0,9.0,3.0,11.0,13.0,,30.0,64.0,0.469,11.0,26.0,0.423,6.0,8.0,0.75,12.0,45.0,14.0,4.0,2.0,16.0,25.0,Fairleigh Dickinson
2971,8,2017-12-02,@,Iona,L,75.0,82.0,30.0,63.0,0.47600000000000003,10.0,25.0,0.4,5.0,6.0,0.833,7.0,39.0,17.0,4.0,4.0,17.0,27.0,,22.0,66.0,0.33299999999999996,12.0,35.0,0.34299999999999997,26.0,33.0,0.7879999999999999,11.0,34.0,18.0,9.0,2.0,8.0,12.0,Fairleigh Dickinson
2972,9,2017-12-09,@,Rutgers,L,54.0,92.0,19.0,59.0,0.322,5.0,22.0,0.22699999999999998,11.0,19.0,0.579,10.0,29.0,8.0,6.0,3.0,15.0,21.0,,33.0,62.0,0.532,7.0,17.0,0.41200000000000003,19.0,28.0,0.679,11.0,45.0,18.0,10.0,4.0,12.0,16.0,Fairleigh Dickinson
2973,10,2017-12-16,@,NJIT,L,68.0,71.0,28.0,58.0,0.483,5.0,18.0,0.278,7.0,12.0,0.583,6.0,26.0,11.0,5.0,3.0,11.0,19.0,,26.0,58.0,0.44799999999999995,5.0,19.0,0.263,14.0,19.0,0.737,13.0,36.0,11.0,6.0,5.0,15.0,16.0,Fairleigh Dickinson
2974,11,2017-12-21,@,Maryland,L,50.0,75.0,17.0,71.0,0.239,6.0,32.0,0.188,10.0,15.0,0.667,13.0,31.0,7.0,12.0,2.0,9.0,18.0,,24.0,50.0,0.48,7.0,20.0,0.35,20.0,23.0,0.87,9.0,47.0,15.0,1.0,6.0,17.0,15.0,Fairleigh Dickinson
2975,12,2017-12-29,@,LIU-Brooklyn,W,82.0,71.0,30.0,70.0,0.429,9.0,23.0,0.391,13.0,17.0,0.765,12.0,34.0,16.0,9.0,4.0,4.0,17.0,,27.0,61.0,0.44299999999999995,5.0,22.0,0.22699999999999998,12.0,18.0,0.667,12.0,39.0,13.0,2.0,4.0,13.0,19.0,Fairleigh Dickinson
2976,13,2017-12-31,@,Sacred Heart,L,65.0,66.0,23.0,57.0,0.40399999999999997,6.0,25.0,0.24,13.0,20.0,0.65,4.0,31.0,8.0,9.0,5.0,11.0,16.0,,25.0,61.0,0.41,7.0,19.0,0.368,9.0,20.0,0.45,14.0,44.0,15.0,3.0,5.0,17.0,19.0,Fairleigh Dickinson
2977,14,2018-01-04,,Central Connecticut,W,81.0,77.0,28.0,64.0,0.43799999999999994,7.0,21.0,0.33299999999999996,18.0,26.0,0.6920000000000001,9.0,27.0,14.0,13.0,4.0,7.0,17.0,,28.0,56.0,0.5,7.0,19.0,0.368,14.0,17.0,0.8240000000000001,10.0,38.0,13.0,2.0,3.0,22.0,22.0,Fairleigh Dickinson
2978,15,2018-01-06,@,Wagner,L,65.0,73.0,24.0,58.0,0.414,9.0,27.0,0.33299999999999996,8.0,9.0,0.889,7.0,27.0,13.0,7.0,2.0,14.0,27.0,,19.0,47.0,0.40399999999999997,9.0,19.0,0.474,26.0,35.0,0.743,13.0,37.0,12.0,9.0,5.0,17.0,17.0,Fairleigh Dickinson
2979,16,2018-01-11,,LIU-Brooklyn,L,85.0,90.0,32.0,63.0,0.508,7.0,12.0,0.583,14.0,20.0,0.7,8.0,26.0,17.0,5.0,1.0,14.0,28.0,,28.0,60.0,0.467,7.0,23.0,0.304,27.0,39.0,0.6920000000000001,14.0,38.0,12.0,7.0,1.0,14.0,19.0,Fairleigh Dickinson
2980,17,2018-01-13,,Robert Morris,L,75.0,81.0,29.0,60.0,0.483,4.0,17.0,0.235,13.0,23.0,0.565,14.0,40.0,12.0,7.0,6.0,18.0,24.0,,24.0,61.0,0.39299999999999996,7.0,23.0,0.304,26.0,33.0,0.7879999999999999,12.0,32.0,9.0,11.0,0.0,11.0,21.0,Fairleigh Dickinson
2981,18,2018-01-18,@,Central Connecticut,L,65.0,66.0,25.0,60.0,0.41700000000000004,3.0,17.0,0.17600000000000002,12.0,13.0,0.9229999999999999,10.0,29.0,12.0,5.0,0.0,10.0,15.0,,27.0,56.0,0.48200000000000004,4.0,21.0,0.19,8.0,14.0,0.5710000000000001,13.0,31.0,17.0,4.0,1.0,12.0,16.0,Fairleigh Dickinson
2982,19,2018-01-20,,Mount St. Mary's,W,73.0,72.0,29.0,58.0,0.5,9.0,21.0,0.429,6.0,8.0,0.75,8.0,34.0,18.0,7.0,2.0,15.0,12.0,,25.0,59.0,0.424,13.0,39.0,0.33299999999999996,9.0,11.0,0.818,7.0,26.0,17.0,9.0,3.0,11.0,11.0,Fairleigh Dickinson
2983,20,2018-01-25,,St. Francis (NY),L,70.0,76.0,23.0,47.0,0.489,5.0,17.0,0.294,19.0,23.0,0.826,10.0,34.0,8.0,1.0,5.0,19.0,20.0,,26.0,59.0,0.441,10.0,24.0,0.41700000000000004,14.0,20.0,0.7,8.0,25.0,14.0,8.0,1.0,8.0,19.0,Fairleigh Dickinson
2984,21,2018-01-27,@,Bryant,W,89.0,78.0,28.0,61.0,0.45899999999999996,7.0,22.0,0.318,26.0,34.0,0.765,13.0,38.0,16.0,5.0,3.0,10.0,17.0,,24.0,71.0,0.33799999999999997,8.0,29.0,0.276,22.0,28.0,0.7859999999999999,20.0,43.0,14.0,3.0,0.0,13.0,23.0,Fairleigh Dickinson
2985,22,2018-02-01,@,Saint Francis (PA),L,60.0,74.0,26.0,71.0,0.366,2.0,19.0,0.105,6.0,9.0,0.667,12.0,34.0,12.0,5.0,6.0,7.0,17.0,,28.0,56.0,0.5,8.0,14.0,0.5710000000000001,10.0,16.0,0.625,7.0,38.0,20.0,4.0,4.0,10.0,13.0,Fairleigh Dickinson
2986,23,2018-02-03,@,Robert Morris,W,73.0,67.0,27.0,64.0,0.42200000000000004,9.0,22.0,0.409,10.0,14.0,0.7140000000000001,12.0,35.0,15.0,5.0,1.0,13.0,12.0,,24.0,58.0,0.414,9.0,25.0,0.36,10.0,11.0,0.909,9.0,34.0,17.0,6.0,2.0,14.0,17.0,Fairleigh Dickinson
2987,24,2018-02-08,,Sacred Heart,W,77.0,67.0,30.0,58.0,0.517,9.0,22.0,0.409,8.0,10.0,0.8,7.0,30.0,12.0,7.0,6.0,10.0,13.0,,25.0,61.0,0.41,6.0,21.0,0.28600000000000003,11.0,17.0,0.647,14.0,35.0,15.0,5.0,4.0,13.0,12.0,Fairleigh Dickinson
2988,25,2018-02-11,,Wagner,W,76.0,69.0,27.0,53.0,0.509,7.0,17.0,0.41200000000000003,15.0,20.0,0.75,5.0,32.0,16.0,3.0,6.0,12.0,14.0,,26.0,74.0,0.35100000000000003,8.0,25.0,0.32,9.0,12.0,0.75,17.0,36.0,15.0,9.0,2.0,6.0,20.0,Fairleigh Dickinson
2989,26,2018-02-15,@,Mount St. Mary's,W,80.0,79.0,30.0,66.0,0.455,7.0,11.0,0.636,13.0,19.0,0.684,16.0,39.0,15.0,7.0,2.0,9.0,15.0,,22.0,51.0,0.431,13.0,28.0,0.46399999999999997,22.0,24.0,0.917,4.0,26.0,19.0,3.0,8.0,10.0,15.0,Fairleigh Dickinson
2990,27,2018-02-17,@,St. Francis (NY),L,74.0,87.0,26.0,53.0,0.491,4.0,15.0,0.267,18.0,22.0,0.818,8.0,27.0,9.0,5.0,1.0,16.0,21.0,,26.0,56.0,0.46399999999999997,8.0,21.0,0.381,27.0,34.0,0.794,13.0,32.0,12.0,7.0,1.0,11.0,22.0,Fairleigh Dickinson
