,G,Date,Site,Opp,W/L,score_Tm,score_Opp,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,blank,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF,Team
16,17,2018-01-08,@,Alabama State,W,94.0,68.0,33.0,57.0,0.579,13.0,22.0,0.591,15.0,23.0,0.652,8.0,32.0,25.0,10.0,2.0,17.0,20.0,,25.0,67.0,0.373,6.0,23.0,0.261,12.0,25.0,0.48,21.0,38.0,6.0,10.0,3.0,19.0,16.0,Arkansas-Pine Bluff
17,18,2018-01-13,,Southern,W (1 OT),78.0,76.0,31.0,70.0,0.44299999999999995,9.0,22.0,0.409,7.0,10.0,0.7,10.0,33.0,23.0,6.0,6.0,15.0,17.0,,23.0,64.0,0.359,6.0,21.0,0.28600000000000003,24.0,29.0,0.828,16.0,40.0,13.0,10.0,2.0,12.0,15.0,Arkansas-Pine Bluff
18,19,2018-01-15,,Alcorn State,W,71.0,59.0,22.0,52.0,0.423,11.0,28.0,0.39299999999999996,16.0,25.0,0.64,9.0,33.0,16.0,10.0,7.0,15.0,17.0,,18.0,54.0,0.33299999999999996,6.0,21.0,0.28600000000000003,17.0,20.0,0.85,8.0,33.0,6.0,10.0,0.0,13.0,22.0,Arkansas-Pine Bluff
19,20,2018-01-20,@,Prairie View,W,72.0,66.0,24.0,52.0,0.462,6.0,21.0,0.28600000000000003,18.0,26.0,0.6920000000000001,6.0,32.0,11.0,10.0,5.0,17.0,21.0,,22.0,57.0,0.386,6.0,20.0,0.3,16.0,26.0,0.615,11.0,34.0,13.0,9.0,3.0,18.0,20.0,Arkansas-Pine Bluff
20,21,2018-01-22,@,Texas Southern,W,74.0,72.0,25.0,60.0,0.41700000000000004,8.0,22.0,0.364,16.0,20.0,0.8,6.0,28.0,12.0,5.0,8.0,12.0,26.0,,21.0,57.0,0.368,3.0,16.0,0.188,27.0,39.0,0.6920000000000001,14.0,41.0,7.0,7.0,1.0,15.0,16.0,Arkansas-Pine Bluff
21,22,2018-01-27,,Grambling,L,68.0,69.0,25.0,53.0,0.47200000000000003,6.0,22.0,0.273,12.0,22.0,0.545,3.0,30.0,15.0,9.0,4.0,18.0,20.0,,25.0,59.0,0.424,5.0,15.0,0.33299999999999996,14.0,26.0,0.5379999999999999,8.0,38.0,10.0,13.0,0.0,15.0,20.0,Arkansas-Pine Bluff
22,23,2018-01-29,,Jackson State,W,60.0,58.0,19.0,44.0,0.43200000000000005,7.0,17.0,0.41200000000000003,15.0,21.0,0.7140000000000001,3.0,19.0,9.0,7.0,2.0,8.0,14.0,,21.0,47.0,0.447,9.0,18.0,0.5,7.0,12.0,0.583,8.0,31.0,12.0,4.0,1.0,16.0,18.0,Arkansas-Pine Bluff
23,24,2018-02-03,,Alabama A&M,W,80.0,62.0,31.0,58.0,0.534,8.0,19.0,0.42100000000000004,10.0,14.0,0.7140000000000001,11.0,34.0,21.0,8.0,3.0,12.0,18.0,,21.0,56.0,0.375,4.0,22.0,0.182,16.0,21.0,0.762,10.0,25.0,8.0,3.0,1.0,13.0,10.0,Arkansas-Pine Bluff
24,25,2018-02-05,,Alabama State,L,59.0,65.0,20.0,51.0,0.392,3.0,15.0,0.2,16.0,25.0,0.64,7.0,22.0,9.0,10.0,9.0,10.0,19.0,,23.0,54.0,0.426,3.0,17.0,0.17600000000000002,16.0,23.0,0.696,14.0,40.0,8.0,5.0,5.0,15.0,19.0,Arkansas-Pine Bluff
25,26,2018-02-10,@,Southern,L,62.0,70.0,24.0,49.0,0.49,7.0,18.0,0.389,7.0,15.0,0.467,6.0,26.0,10.0,4.0,3.0,13.0,16.0,,26.0,64.0,0.406,6.0,16.0,0.375,12.0,18.0,0.667,17.0,39.0,14.0,4.0,4.0,13.0,16.0,Arkansas-Pine Bluff
